Project,Dataset,Table
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220425
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220502
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220509
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220516
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220523
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220530
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220606
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220613
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220620
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220627
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220704
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220711
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220718
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220725
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220801
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220808
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220815
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220822
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220829
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220905
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220912
gcp-wow-rwds-ai-safari-prod,digital_attribution_modelling_dev,safarievents_final_20220919
